customer_id,age,gender,city,tenure_months,avg_order_value,total_orders,last_purchase_days_ago,support_tickets,subscription_type,churn
100000,56,Female,Mumbai,82,7722,56,704,49,Basic,1
100001,69,Female,Kolkata,28,2127,248,357,39,Basic,0
100002,46,Male,Delhi,98,2775,68,121,23,Platinum,0
100003,32,Female,Pune,46,1698,309,39,47,Silver,0
100004,60,Female,Bangalore,90,6520,147,403,32,Silver,0
100005,25,Male,Mumbai,51,9702,440,395,5,Basic,1
100006,38,Male,Pune,24,7397,90,261,21,Platinum,1
100007,56,Female,Delhi,38,2729,480,79,27,Basic,0
100008,36,Male,Mumbai,84,9292,52,124,13,Silver,1
100009,40,Male,Chennai,56,7040,96,214,13,Basic,1
100010,28,Female,Mumbai,85,2685,357,211,25,Silver,0
100011,28,Male,Bangalore,61,7457,307,638,40,Gold,1
100012,41,Male,Bangalore,116,5591,483,705,6,Basic,0
100013,53,Male,Hyderabad,20,3347,487,116,39,Platinum,1
100014,57,Male,Pune,52,2970,355,34,24,Gold,0
100015,41,Female,Delhi,37,868,458,66,15,Basic,0
100016,20,Female,Hyderabad,24,8094,376,612,8,Platinum,1
100017,39,Male,Kolkata,103,7073,107,582,26,Silver,0
100018,19,Female,Pune,13,4632,213,25,7,Silver,0
100019,41,Female,Pune,83,6372,283,719,31,Basic,0
100020,61,Male,Chennai,36,6584,31,356,41,Basic,0
100021,47,Male,Mumbai,56,9057,488,66,0,Basic,0
100022,55,Male,Mumbai,110,8678,378,89,22,Gold,0
100023,19,Male,Delhi,82,3530,453,73,9,Basic,0
100024,38,Male,Chennai,109,5726,434,625,9,Silver,0
100025,50,Female,Chennai,103,826,178,514,19,Gold,1
100026,29,Male,Delhi,70,4974,255,343,23,Gold,0
100027,39,Male,Chennai,56,4387,348,334,13,Basic,0
100028,61,Female,Kolkata,50,7779,401,204,37,Gold,1
100029,42,Male,Hyderabad,85,7110,124,453,33,Platinum,1
100030,66,Female,Hyderabad,102,7187,485,157,39,Platinum,0
100031,44,Male,Chennai,39,5243,144,615,32,Silver,1
100032,59,Male,Mumbai,55,3936,178,456,17,Silver,0
100033,45,Female,Hyderabad,74,5803,160,713,20,Gold,0
100034,33,Female,Delhi,100,1370,133,343,31,Basic,0
100035,32,Male,Hyderabad,116,5088,107,558,0,Basic,0
100036,64,Male,Mumbai,100,7757,228,334,19,Basic,0
100037,68,Male,Hyderabad,89,5583,140,181,26,Basic,0
100038,61,Male,Chennai,79,6889,374,46,31,Silver,1
100039,69,Male,Delhi,22,1790,460,339,42,Basic,0
100040,20,Female,Chennai,108,3087,189,520,25,Silver,0
100041,54,Male,Mumbai,106,6372,273,122,27,Basic,0
100042,68,Male,Chennai,17,1801,395,605,24,Basic,1
100043,24,Male,Chennai,106,1453,294,302,7,Basic,0
100044,38,Male,Mumbai,36,470,295,728,0,Gold,1
100045,26,Male,Kolkata,98,3417,423,629,35,Silver,0
100046,56,Male,Delhi,108,6369,201,482,29,Silver,1
100047,35,Male,Chennai,79,8350,116,509,48,Basic,0
100048,21,Female,Bangalore,67,7385,391,97,19,Basic,0
100049,42,Female,Mumbai,6,4864,383,651,23,Gold,1
100050,31,Female,Bangalore,15,6478,243,409,4,Gold,1
100051,67,Male,Chennai,47,3118,436,678,45,Silver,0
100052,26,Female,Hyderabad,117,286,387,15,26,Platinum,0
100053,43,Female,Hyderabad,110,8800,255,468,38,Basic,0
100054,19,Female,Chennai,1,8047,150,657,3,Basic,0
100055,37,Female,Chennai,76,8578,129,212,11,Basic,1
100056,45,Male,Delhi,4,2054,496,120,7,Silver,0
100057,64,Female,Mumbai,66,1515,280,281,25,Platinum,0
100058,24,Male,Mumbai,57,3809,462,69,24,Platinum,0
100059,61,Male,Pune,55,9206,257,641,27,Gold,0
100060,25,Female,Hyderabad,76,5185,464,120,16,Gold,0
100061,64,Female,Chennai,37,5633,103,620,36,Silver,0
